feature,importance
runtime_hours,0.15147705770910952
runtime_minutes,0.12642839785166252
Budget_log,0.11307431462155465
release_year,0.08148866049606535
release_month,0.06660952859618167
release_weekday,0.03774237949078519
genre_Drama,0.03440602922025124
cast_genre_interaction,0.03394202774381744
genre_Animation,0.03165276480832638
release_quarter,0.027509179541515664
num_genres,0.026923529501867924
genre_Horror,0.021375195525867773
genre_Action,0.01963066585288411
is_united_states_of_america,0.017599067482145136
is_usa,0.016738115917925483
is_vietnam,0.015837727417290025
genre_Family,0.01516588187824641
genre_Science Fiction,0.014566071878410098
genre_Adventure,0.014525599873918096
genre_Comedy,0.014386901212964723
num_main_cast,0.013820717064352788
genre_Thriller,0.012764320650399081
genre_Fantasy,0.012204467508878148
is_holiday_season,0.011724484750158552
is_china,0.010354319414023308
genre_Crime,0.008636597930409657
is_united_kingdom,0.007998524795949974
is_canada,0.007515254158249972
genre_Romance,0.007052228895393847
genre_Mystery,0.005990739825806398
is_south_korea,0.004512336174177648
is_japan,0.003684770847839501
genre_History,0.003386683781078817
is_france,0.00318179711800481
is_india,0.002665652279361707
genre_Music,0.0025353272933640795
is_australia,0.0008926808917623206
